ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
CZE,Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,831.40","21,736.84","19,739.90","19,912.51","19,768.84","17,728.70","18,485.24","20,409.98","23,112.59","23,213.95","24,569.06","25,881.83","27,205.52","28,569.08","30,070.30",2018
DNK,Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","58,177.16","61,864.09","58,623.41","61,325.58","62,729.50","53,478.50","54,665.22","57,380.20","60,897.23","59,795.27","61,732.57","64,106.78","66,656.96","69,413.32","72,325.94",2018
DJI,Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,833.85","2,011.15","2,137.60","2,235.73","2,359.42","2,532.60","2,638.00","2,711.46","2,786.79","2,936.21","3,088.17","3,247.98","3,416.07","3,592.85","3,778.79",2018
DMA,Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,975.99","7,082.73","6,870.30","7,096.22","7,402.80","7,645.44","8,135.09","7,401.09","7,541.63","8,380.98","8,948.65","9,497.37","10,033.05","10,447.32","10,814.36",2011
DOM,Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,688.75","6,063.35","6,274.87","6,413.93","6,805.66","7,139.51","7,521.27","7,874.94","8,340.96","8,629.25","9,194.69","9,797.19","10,408.29","11,059.40","11,739.56",2018
ECU,Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,633.25","5,192.88","5,664.89","6,030.50","6,347.00","6,099.35","6,046.30","6,216.61","6,367.59","6,249.39","6,250.12","6,345.86","6,502.38","6,644.17","6,783.29",2018
EGY,Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,921.76","3,077.34","3,383.11","3,400.32","3,524.42","3,731.18","3,686.07","2,495.02","2,573.29","3,046.59","3,478.11","3,626.62","3,740.96","3,863.80","4,042.32",2018
SLV,El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,978.76","3,251.08","3,400.18","3,466.38","3,529.55","3,628.06","3,704.24","3,787.33","3,922.26","4,008.02","4,126.15","4,250.39","4,375.30","4,521.32","4,667.91",2018
GNQ,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,136.45","21,451.89","21,557.65","20,246.99","19,245.65","11,213.47","9,196.29","9,692.34","10,453.13","8,927.44","8,273.83","7,798.98","7,405.70","7,206.86","7,058.91",2015
ERI,Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",311.985,395.773,422.28,358.537,466.618,352.323,380.485,323.508,331.862,342.6,349.788,364.929,392.446,412.806,434.657,2006
