ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
TON,Tonga,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,819.22","4,437.44","4,503.60","4,371.58","4,332.31","4,052.35","4,276.80","4,672.33","4,858.42","4,862.27","5,083.48","5,267.81","5,453.84","5,664.45","5,887.85",2018
TTO,Trinidad and Tobago,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,958.00","19,320.96","19,208.07","20,107.68","20,286.55","18,470.34","15,937.60","16,251.51","16,378.65","16,365.64","16,757.56","17,343.58","17,986.54","18,667.92","19,422.87",2017
TUN,Tunisia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,140.47","4,256.84","4,137.57","4,198.85","4,274.47","3,827.64","3,665.80","3,452.67","3,421.78","3,287.09","3,327.72","3,159.34","3,170.99","3,367.88","3,631.06",2017
TUR,Turkey,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,475.57","11,140.95","11,552.69","12,395.37","12,022.18","10,914.89","10,817.39","10,551.14","9,405.32","8,957.89","9,683.57","10,635.82","11,373.64","11,901.69","12,489.90",2018
TKM,Turkmenistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,439.20","5,649.98","6,675.28","7,304.42","7,962.37","6,432.67","6,412.14","6,642.52","7,064.74","7,816.02","8,991.25","9,957.43","10,891.53","11,919.76","13,051.78",2004
TUV,Tuvalu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,059.16","3,687.99","3,541.91","3,499.05","3,459.46","3,280.97","3,362.05","3,688.65","3,796.40","3,834.83","4,121.73","4,424.92","4,769.01","5,124.05","5,349.18",2012
UGA,Uganda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",662.223,669.297,755.416,767.235,775.095,646.894,676.948,702.448,724.209,770.062,823.106,873.745,937.957,989.437,"1,097.65",2016
UKR,Ukraine,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,982.81","3,589.63","3,872.53","3,968.80","3,053.61","2,124.62","2,200.00","2,655.94","3,112.88","3,592.17","3,881.66","4,146.53","4,412.07","4,691.73","4,982.76",2018
ARE,United Arab Emirates,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,064.26","41,194.73","42,723.58","43,197.43","43,340.02","37,380.57","36,226.23","37,251.94","39,709.01","37,749.88","37,375.27","37,386.47","37,642.59","38,056.96","38,586.47",2005
GBR,United Kingdom,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","39,122.19","41,649.66","42,023.10","42,981.25","47,003.88","44,494.86","40,657.86","39,976.78","42,579.82","41,030.23","40,391.84","41,504.89","42,842.47","44,311.93","45,934.90",2018
USA,United States,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,402.58","49,825.50","51,556.17","53,061.24","55,010.07","56,787.46","57,901.07","59,999.51","62,868.92","65,111.60","67,426.84","69,643.84","71,760.35","73,953.43","76,252.11",2018
URY,Uruguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,859.90","14,054.33","14,961.68","16,723.45","16,572.36","15,365.96","15,139.12","17,046.21","17,014.13","17,029.25","17,818.92","18,877.95","19,549.34","20,372.90","21,200.61",2015
UZB,Uzbekistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,696.06","1,886.63","2,097.09","2,300.78","2,514.07","2,621.98","2,575.52","1,810.27","1,550.04","1,831.57","2,094.94","2,352.56","2,609.46","2,897.21","3,202.10",2017
VUT,Vanuatu,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,841.25","3,093.46","3,067.75","3,108.79","3,110.71","2,880.95","2,929.52","3,158.84","3,254.87","3,260.22","3,361.28","3,460.62","3,567.62","3,681.52","3,799.05",2017
VEN,Venezuela,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,324.75","11,548.91","11,293.13","7,869.44","7,029.89","10,568.10","9,092.02","4,755.03","3,410.85","2,547.76","2,427.50","2,409.43",n/a,n/a,n/a,2010
VNM,Vietnam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,297.23","1,532.31","1,750.76","1,898.90","2,047.43","2,085.71","2,172.01","2,353.36","2,551.12","2,739.82","2,954.64","3,171.51","3,406.14","3,664.17","3,952.10",2016
YEM,Yemen,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,266.79","1,302.30","1,367.72","1,515.95","1,574.25","1,307.16",963.976,819.339,895.344,943.343,709.312,732.278,780.008,804.886,814.783,2017
ZMB,Zambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,456.16","1,635.51","1,724.71","1,839.54","1,727.03","1,310.35","1,252.70","1,500.65","1,503.40","1,307.03","1,236.19","1,203.47","1,179.29","1,160.27","1,147.79",2010
ZWE,Zimbabwe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",975.851,"1,131.84","1,310.37","1,421.55","1,415.03","1,425.01","1,409.45","1,516.28","1,434.06",859.953,847.163,869.32,905.287,934.974,971.081,2012
,,,,,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2019",,,,,,,,,,,,,,,,,,,,,
